NM_001280889.2	Bombus terrestris acyl-CoA delta-9 desaturase (npve), mRNA
XM_048412361.1	PREDICTED: Bombus terrestris hexokinase type 2 (LOC100644228), transcript variant X5, mRNA
XM_048412362.1	PREDICTED: Bombus terrestris max dimerization protein 1 (LOC100644824), transcript variant X9, mRNA
XM_048412363.1	PREDICTED: Bombus terrestris max dimerization protein 1 (LOC100644824), transcript variant X10, mRNA
XM_048412364.1	PREDICTED: Bombus terrestris max dimerization protein 1 (LOC100644824), transcript variant X11, mRNA
XM_048412365.1	PREDICTED: Bombus terrestris uncharacterized LOC100643864 (LOC100643864), transcript variant X1, mRNA
XM_048412366.1	PREDICTED: Bombus terrestris uncharacterized LOC100643864 (LOC100643864), transcript variant X4, mRNA
XM_048412367.1	PREDICTED: Bombus terrestris uncharacterized LOC100643864 (LOC100643864), transcript variant X5, mRNA
XM_048412368.1	PREDICTED: Bombus terrestris uncharacterized LOC100643864 (LOC100643864), transcript variant X6, mRNA
XM_048412369.1	PREDICTED: Bombus terrestris uncharacterized LOC105666594 (LOC105666594), mRNA
XM_048412370.1	PREDICTED: Bombus terrestris MAP kinase-activating death domain protein (LOC105666583), transcript variant X9, mRNA
XM_048412371.1	PREDICTED: Bombus terrestris MAP kinase-activating death domain protein (LOC105666583), transcript variant X11, mRNA
XM_048412372.1	PREDICTED: Bombus terrestris protein draper (LOC100649004), transcript variant X3, mRNA
XM_048412373.1	PREDICTED: Bombus terrestris protein draper (LOC100649004), transcript variant X4, mRNA
XM_048412374.1	PREDICTED: Bombus terrestris ATP-dependent DNA helicase Q5 (LOC100649236), transcript variant X2, mRNA
XM_048412375.1	PREDICTED: Bombus terrestris zinc finger protein 658B (LOC100647595), transcript variant X1, mRNA
XM_048412376.1	PREDICTED: Bombus terrestris zinc finger protein 658B (LOC100647595), transcript variant X2, mRNA
XM_048412377.1	PREDICTED: Bombus terrestris cholinephosphotransferase 1 (LOC100648463), transcript variant X2, mRNA
XM_048412378.1	PREDICTED: Bombus terrestris cholinephosphotransferase 1 (LOC100648463), transcript variant X3, mRNA
XM_048412379.1	PREDICTED: Bombus terrestris 40S ribosomal protein S3 (LOC100650837), transcript variant X2, mRNA
XM_048412380.1	PREDICTED: Bombus terrestris glutathione S-transferase 1 (LOC105667074), transcript variant X1, mRNA
XM_048412381.1	PREDICTED: Bombus terrestris dynein beta chain, ciliary (LOC100645927), mRNA
XM_048412382.1	PREDICTED: Bombus terrestris mitogen-activated protein kinase kinase kinase 15 (LOC100644945), transcript variant X3, mRNA
XM_048412383.1	PREDICTED: Bombus terrestris glutathione S-transferase 1 (LOC105667074), transcript variant X3, mRNA
XM_048412384.1	PREDICTED: Bombus terrestris uncharacterized LOC100644783 (LOC100644783), transcript variant X4, mRNA
XM_048412385.1	PREDICTED: Bombus terrestris uncharacterized LOC100644783 (LOC100644783), transcript variant X5, mRNA
XM_048412386.1	PREDICTED: Bombus terrestris glutathione S-transferase 1 (LOC105667074), transcript variant X4, mRNA
XM_048412387.1	PREDICTED: Bombus terrestris glutathione S-transferase 1 (LOC105667074), transcript variant X5, mRNA
XM_048412388.1	PREDICTED: Bombus terrestris dynactin subunit 1 (LOC100651618), transcript variant X1, mRNA
XM_048412389.1	PREDICTED: Bombus terrestris dynactin subunit 1 (LOC100651618), transcript variant X2, mRNA
XM_048412390.1	PREDICTED: Bombus terrestris dynactin subunit 1 (LOC100651618), transcript variant X3, mRNA
XM_048412391.1	PREDICTED: Bombus terrestris dynactin subunit 1 (LOC100651618), transcript variant X4, mRNA
XM_048412392.1	PREDICTED: Bombus terrestris dynactin subunit 1 (LOC100651618), transcript variant X6, mRNA
XM_048412393.1	PREDICTED: Bombus terrestris uncharacterized LOC100645423 (LOC100645423), transcript variant X1, mRNA
XM_048412394.1	PREDICTED: Bombus terrestris glutathione S-transferase 1 (LOC105667074), transcript variant X6, mRNA
XM_048412395.1	PREDICTED: Bombus terrestris uncharacterized LOC100645423 (LOC100645423), transcript variant X2, mRNA
XM_048412396.1	PREDICTED: Bombus terrestris uncharacterized LOC100645423 (LOC100645423), transcript variant X3, mRNA
XM_048412397.1	PREDICTED: Bombus terrestris uncharacterized LOC100645423 (LOC100645423), transcript variant X4, mRNA
XM_048412398.1	PREDICTED: Bombus terrestris 3-hydroxy-3-methylglutaryl-coenzyme A reductase (LOC100651787), transcript variant X2, mRNA
XM_048412399.1	PREDICTED: Bombus terrestris inositol 1,4,5-triphosphate receptor associated 2 (LOC100646612), transcript variant X2, mRNA
XM_048412400.1	PREDICTED: Bombus terrestris general transcriptional corepressor trfA (LOC100642706), transcript variant X2, mRNA
XM_048412401.1	PREDICTED: Bombus terrestris general transcriptional corepressor trfA (LOC100642706), transcript variant X3, mRNA
XM_048412402.1	PREDICTED: Bombus terrestris tubulin alpha chain-like (LOC100651972), transcript variant X2, mRNA
XM_048412403.1	PREDICTED: Bombus terrestris dopamine receptor 1 (LOC100642586), transcript variant X1, mRNA
XM_048412404.1	PREDICTED: Bombus terrestris dopamine receptor 1 (LOC100642586), transcript variant X4, mRNA
XM_048412405.1	PREDICTED: Bombus terrestris G protein-coupled receptor kinase 2 (LOC100642779), transcript variant X1, mRNA
XM_048412406.1	PREDICTED: Bombus terrestris G protein-coupled receptor kinase 2 (LOC100642779), transcript variant X2, mRNA
XM_048412407.1	PREDICTED: Bombus terrestris G protein-coupled receptor kinase 2 (LOC100642779), transcript variant X3, mRNA
XM_048412408.1	PREDICTED: Bombus terrestris G protein-coupled receptor kinase 2 (LOC100642779), transcript variant X4, mRNA
XM_048412409.1	PREDICTED: Bombus terrestris large neutral amino acids transporter small subunit 1 (LOC100645609), transcript variant X1, mRNA
XM_048412410.1	PREDICTED: Bombus terrestris attractin-like protein 1 (LOC100642540), transcript variant X2, mRNA
XM_048412411.1	PREDICTED: Bombus terrestris attractin-like protein 1 (LOC100642540), transcript variant X3, mRNA
XM_048412412.1	PREDICTED: Bombus terrestris alpha-protein kinase 1 (LOC100642505), transcript variant X1, mRNA
XM_048412413.1	PREDICTED: Bombus terrestris alpha-protein kinase 1 (LOC100642505), transcript variant X2, mRNA
XM_048412414.1	PREDICTED: Bombus terrestris alpha-protein kinase 1 (LOC100642505), transcript variant X4, mRNA
XM_048412415.1	PREDICTED: Bombus terrestris alpha-protein kinase 1 (LOC100642505), transcript variant X6, mRNA
XM_048412416.1	PREDICTED: Bombus terrestris alpha-protein kinase 1 (LOC100642505), transcript variant X7, mRNA
XM_048412417.1	PREDICTED: Bombus terrestris alpha-protein kinase 1 (LOC100642505), transcript variant X8, mRNA
XM_048412418.1	PREDICTED: Bombus terrestris WD repeat-containing protein 91 (LOC100652094), transcript variant X2, mRNA
XM_048412419.1	PREDICTED: Bombus terrestris origin recognition complex subunit 2 (LOC100647246), transcript variant X1, mRNA
XM_048412420.1	PREDICTED: Bombus terrestris origin recognition complex subunit 2 (LOC100647246), transcript variant X2, mRNA
XM_048412421.1	PREDICTED: Bombus terrestris origin recognition complex subunit 2 (LOC100647246), transcript variant X3, mRNA
XM_048412422.1	PREDICTED: Bombus terrestris origin recognition complex subunit 2 (LOC100647246), transcript variant X4, mRNA
XM_048412423.1	PREDICTED: Bombus terrestris origin recognition complex subunit 2 (LOC100647246), transcript variant X5, mRNA
XM_048412424.1	PREDICTED: Bombus terrestris origin recognition complex subunit 2 (LOC100647246), transcript variant X6, mRNA
XM_048412425.1	PREDICTED: Bombus terrestris protein cereblon (LOC100642621), transcript variant X2, mRNA
XM_048412426.1	PREDICTED: Bombus terrestris protein cereblon (LOC100642621), transcript variant X3, mRNA
XM_048412427.1	PREDICTED: Bombus terrestris inhibitor of growth protein 3 (LOC100643179), transcript variant X2, mRNA
XM_048412428.1	PREDICTED: Bombus terrestris inhibitor of growth protein 3 (LOC100643179), transcript variant X3, mRNA
XM_048412429.1	PREDICTED: Bombus terrestris phenoloxidase-activating factor 2 (LOC100642942), transcript variant X2, mRNA
XM_048412430.1	PREDICTED: Bombus terrestris sideroflexin-2 (LOC100643303), transcript variant X1, mRNA
XM_048412431.1	PREDICTED: Bombus terrestris sideroflexin-2 (LOC100643303), transcript variant X2, mRNA
XM_048412432.1	PREDICTED: Bombus terrestris sideroflexin-2 (LOC100643303), transcript variant X3, mRNA
XM_048412433.1	PREDICTED: Bombus terrestris sideroflexin-2 (LOC100643303), transcript variant X4, mRNA
XM_048412434.1	PREDICTED: Bombus terrestris sideroflexin-2 (LOC100643303), transcript variant X5, mRNA
XM_048412435.1	PREDICTED: Bombus terrestris sideroflexin-2 (LOC100643303), transcript variant X6, mRNA
XM_048412436.1	PREDICTED: Bombus terrestris uncharacterized LOC100647128 (LOC100647128), transcript variant X2, mRNA
XM_048412437.1	PREDICTED: Bombus terrestris uncharacterized LOC100651069 (LOC100651069), transcript variant X1, mRNA
XM_048412438.1	PREDICTED: Bombus terrestris uncharacterized LOC100642265 (LOC100642265), transcript variant X2, mRNA
XM_048412439.1	PREDICTED: Bombus terrestris uncharacterized LOC100651069 (LOC100651069), transcript variant X2, mRNA
XM_048412440.1	PREDICTED: Bombus terrestris protein split ends (LOC100652059), transcript variant X1, mRNA
XM_048412441.1	PREDICTED: Bombus terrestris protein split ends (LOC100652059), transcript variant X2, mRNA
XM_048412442.1	PREDICTED: Bombus terrestris protein split ends (LOC100652059), transcript variant X3, mRNA
XM_048412443.1	PREDICTED: Bombus terrestris protein split ends (LOC100652059), transcript variant X4, mRNA
XM_048412444.1	PREDICTED: Bombus terrestris protein split ends (LOC100652059), transcript variant X5, mRNA
XM_048412445.1	PREDICTED: Bombus terrestris protein split ends (LOC100652059), transcript variant X6, mRNA
XM_048412446.1	PREDICTED: Bombus terrestris protein split ends (LOC100652059), transcript variant X7, mRNA
XM_048412447.1	PREDICTED: Bombus terrestris protein split ends (LOC100652059), transcript variant X8, mRNA
XM_048412448.1	PREDICTED: Bombus terrestris protein split ends (LOC100652059), transcript variant X9, mRNA
XM_048412449.1	PREDICTED: Bombus terrestris protein split ends (LOC100652059), transcript variant X10, mRNA
XM_048412450.1	PREDICTED: Bombus terrestris zinc finger protein 425 (LOC100651937), transcript variant X2, mRNA
XM_048412451.1	PREDICTED: Bombus terrestris hippocampus abundant transcript 1 protein (LOC100652259), transcript variant X4, mRNA
XM_048412452.1	PREDICTED: Bombus terrestris prestin (LOC100645271), transcript variant X2, mRNA
XM_048412453.1	PREDICTED: Bombus terrestris prestin (LOC100645271), transcript variant X3, mRNA
XM_048412454.1	PREDICTED: Bombus terrestris prestin (LOC100645271), transcript variant X4, mRNA
XM_048412455.1	PREDICTED: Bombus terrestris transient receptor potential-gamma protein (LOC100647530), transcript variant X1, mRNA
XM_048412456.1	PREDICTED: Bombus terrestris uncharacterized protein C3orf18 (LOC100651388), transcript variant X3, mRNA
XM_048412457.1	PREDICTED: Bombus terrestris swi5-dependent recombination DNA repair protein 1 homolog (LOC100651505), transcript variant X1, mRNA
XM_048412458.1	PREDICTED: Bombus terrestris swi5-dependent recombination DNA repair protein 1 homolog (LOC100651505), transcript variant X3, mRNA
XM_048412459.1	PREDICTED: Bombus terrestris hrp65 protein (LOC100644709), transcript variant X9, mRNA
XM_048412460.1	PREDICTED: Bombus terrestris high mobility group protein I (LOC100651621), transcript variant X1, mRNA
XM_048412461.1	PREDICTED: Bombus terrestris transient receptor potential-gamma protein (LOC100647530), transcript variant X2, mRNA
XM_048412462.1	PREDICTED: Bombus terrestris DNA repair and recombination protein RAD54-like (LOC100650016), transcript variant X2, mRNA
XM_048412463.1	PREDICTED: Bombus terrestris glutathione hydrolase 7 (LOC100650258), transcript variant X1, mRNA
XM_048412464.1	PREDICTED: Bombus terrestris glutathione hydrolase 7 (LOC100650258), transcript variant X3, mRNA
XM_048412465.1	PREDICTED: Bombus terrestris glutathione hydrolase 7 (LOC100650258), transcript variant X4, mRNA
XM_048412466.1	PREDICTED: Bombus terrestris transient receptor potential-gamma protein (LOC100647530), transcript variant X3, mRNA
XM_048412467.1	PREDICTED: Bombus terrestris GDP-fucose transporter 1 (LOC100651144), mRNA
XM_048412468.1	PREDICTED: Bombus terrestris inositol polyphosphate-5-phosphatase A (LOC100643060), transcript variant X2, mRNA
XM_048412469.1	PREDICTED: Bombus terrestris transient receptor potential-gamma protein (LOC100647530), transcript variant X4, mRNA
XM_048412470.1	PREDICTED: Bombus terrestris cilia- and flagella-associated protein 206 (LOC100643783), mRNA
XM_048412471.1	PREDICTED: Bombus terrestris epsilon-sarcoglycan (LOC100643178), transcript variant X1, mRNA
XM_048412472.1	PREDICTED: Bombus terrestris epsilon-sarcoglycan (LOC100643178), transcript variant X2, mRNA
XM_048412473.1	PREDICTED: Bombus terrestris epsilon-sarcoglycan (LOC100643178), transcript variant X4, mRNA
XM_048412474.1	PREDICTED: Bombus terrestris epsilon-sarcoglycan (LOC100643178), transcript variant X5, mRNA
XM_048412475.1	PREDICTED: Bombus terrestris epsilon-sarcoglycan (LOC100643178), transcript variant X6, mRNA
XM_048412476.1	PREDICTED: Bombus terrestris epsilon-sarcoglycan (LOC100643178), transcript variant X7, mRNA
XM_048412477.1	PREDICTED: Bombus terrestris epsilon-sarcoglycan (LOC100643178), transcript variant X8, mRNA
XM_048412478.1	PREDICTED: Bombus terrestris tubby-related protein 4 (LOC100651733), transcript variant X1, mRNA
XM_048412479.1	PREDICTED: Bombus terrestris sphingosine-1-phosphate lyase (LOC100651854), transcript variant X1, mRNA
XM_048412480.1	PREDICTED: Bombus terrestris sphingosine-1-phosphate lyase (LOC100651854), transcript variant X2, mRNA
XM_048412481.1	PREDICTED: Bombus terrestris sphingosine-1-phosphate lyase (LOC100651854), transcript variant X3, mRNA
XM_048412482.1	PREDICTED: Bombus terrestris sphingosine-1-phosphate lyase (LOC100651854), transcript variant X4, mRNA
XM_048412483.1	PREDICTED: Bombus terrestris transient receptor potential-gamma protein (LOC100647530), transcript variant X7, mRNA
XM_048412484.1	PREDICTED: Bombus terrestris 3-hydroxyisobutyryl-CoA hydrolase, mitochondrial (LOC100652056), transcript variant X2, mRNA
XM_048412485.1	PREDICTED: Bombus terrestris 3-hydroxyisobutyryl-CoA hydrolase, mitochondrial (LOC100652056), transcript variant X3, mRNA
XM_048412486.1	PREDICTED: Bombus terrestris tachykinin-like peptides receptor 99D (LOC100650787), transcript variant X1, mRNA
XM_048412487.1	PREDICTED: Bombus terrestris tachykinin-like peptides receptor 99D (LOC100650787), transcript variant X2, mRNA
XM_048412488.1	PREDICTED: Bombus terrestris tachykinin-like peptides receptor 99D (LOC100650787), transcript variant X3, mRNA
XM_048412489.1	PREDICTED: Bombus terrestris transient receptor potential-gamma protein (LOC100647530), transcript variant X8, mRNA
XM_048412490.1	PREDICTED: Bombus terrestris 50S ribosomal protein L1 (LOC100652257), transcript variant X1, mRNA
XM_048412491.1	PREDICTED: Bombus terrestris carbonic anhydrase 2 (LOC105666516), transcript variant X1, mRNA
XM_048412492.1	PREDICTED: Bombus terrestris carbonic anhydrase 2 (LOC105666516), transcript variant X2, mRNA
XM_048412493.1	PREDICTED: Bombus terrestris carbonic anhydrase 7-like (LOC100642420), transcript variant X1, mRNA
XM_048412494.1	PREDICTED: Bombus terrestris carbonic anhydrase 7-like (LOC100642420), transcript variant X2, mRNA
XM_048412495.1	PREDICTED: Bombus terrestris tetraspanin-11 (LOC105666514), transcript variant X2, mRNA
XM_048412496.1	PREDICTED: Bombus terrestris transient receptor potential-gamma protein (LOC100647530), transcript variant X9, mRNA
XM_048412497.1	PREDICTED: Bombus terrestris tetraspanin-11 (LOC105666514), transcript variant X3, mRNA
XM_048412498.1	PREDICTED: Bombus terrestris tetraspanin-11 (LOC105666514), transcript variant X4, mRNA
XM_048412499.1	PREDICTED: Bombus terrestris uncharacterized protein C15orf61 homolog (LOC105666513), transcript variant X2, mRNA
XM_048412500.1	PREDICTED: Bombus terrestris uncharacterized protein C15orf61 homolog (LOC105666513), transcript variant X3, mRNA
XM_048412501.1	PREDICTED: Bombus terrestris cadherin-89D (LOC100650903), transcript variant X1, mRNA
XM_048412502.1	PREDICTED: Bombus terrestris cadherin-89D (LOC100650903), transcript variant X2, mRNA
XM_048412503.1	PREDICTED: Bombus terrestris glycerol-3-phosphate acyltransferase 3-like (LOC100651856), transcript variant X1, mRNA
XM_048412504.1	PREDICTED: Bombus terrestris uncharacterized LOC100642227 (LOC100642227), transcript variant X2, mRNA
XM_048412505.1	PREDICTED: Bombus terrestris aldo-keto reductase family 1 member B1 (LOC105666547), transcript variant X2, mRNA
XM_048412506.1	PREDICTED: Bombus terrestris aldo-keto reductase family 1 member B1 (LOC105666547), transcript variant X5, mRNA
XM_048412507.1	PREDICTED: Bombus terrestris aldo-keto reductase family 1 member B1 (LOC100652258), transcript variant X3, mRNA
